issuer,class,cusip,value,shares
BRUKER CORP,6.375 PREF SER A,116794207,13137181,48334
HALLIBURTON CO,COM,406216101,61500000,2500000
LULULEMON ATHLETICA INC,COM,550021109,17793000,100000
MOLINA HEALTHCARE INC,COM,60855R100,23920000,125000
NVIDIA CORPORATION,COM,67066G104,186580000,1000000
PALANTIR TECHNOLOGIES INC,CL A,69608A108,912100000,5000000
PFIZER INC,COM,717081103,152880000,6000000
SLM CORP,COM,78442P106,13287895,480054
